typed	code	subcode
kangaroo	kangaroo	~
kangaroo rat	rat	kangaroo
kangaroos	kangaroo	~
kangeroo	kangaroo	~
kangoroo	kangaroo	~
kasuaweri	cassowary	~
kestrel	kestrel	~
killer whales	killerwhale	~
kimodo dragon (however you spell it!)	komododragon	~
king kong	~	~
king penguin	penguin	king
kitten	kitten	~
kitty	kitten	~
kiwi	kiwi	~
koala	koala	~
koala bear	koala	~
koala bears	koala	~
koala?	koala	~
kobe beef cows	cow	~
kola bear	koala	~
komodo dragon	komododragon	~
ladybids	ladybug	~
ladybird	ladybug	~
ladybirds	ladybug	~
lamb	sheep	~
lambs 	lamb	~
large 	~	~
leapords	leopard	~
lema	lemur	~
lemar	lemur	~
lemur	lemur	~
leopard	leopard	~
leopard 	leopard	~
leopard gecko	gecko	leopard
leopard seal	seal	leopard
leopards	leopard	~
leoparp	leopard	~
lets think of a place	~	~
ligar	liger	~
liger	liger	~
like bees	bee	~
like frogs	frog	~
lima	lemur	~
linx	lynx	~
lion	lion	~
lion cub	lion	~
lion fish	lionfish	~
lion#	lion	~
lions	lion	~
lizard	lizard	~
lizards	lizard	~
lizards ghekkos	gecko	~
llama	llama	~
lmao	~	~
lobster	lobster	~
lobsters	lobster	~
lol	~	~
lynx	lynx	~
magpie	magpie	~
mahi mahi	fish	mahimahi
mallard	mallard	~
mammals	mammal	~
mammals is easier, i might just name loads of thenm for the time being!	mammal	~
mammoth	woollymammoth	~
mammoths	woollymammoth	~
manatee	manatee	~
may flies	fly	may
may flies 	fly	may
maybe	~	~
meer cat	meerkat	~
meer kat	meerkat	~
meercat	meerkat	~
meerkat	meerkat	~
mega fauna	~	~
mice	mouse	~
micre	mouse	~
midges	fly	midge
mile end canal ducks	duck	~
mink	mink	~
mockingbird	mockingbird	~
mogwai	~	~
mole	mole	~
moles	mole	~
monekey	monkey	~
mongoose	mongoose	~
monkey	monkey	~
monkeys	monkey	~
monkeys, penguins, 	monkey/penguin	~
monkfish	fish	monkfish
mono vision e.g eyes at the front of their heads can only see in one direction 	~	~
moose	moose	~
mosquito	mosquito	~
mosquitoes	mosquito	~
mosquitos	mosquito	~
moth	moth	~
moths	moth	~
mountain goat	mountaingoat	~
mountain lion	mountainlion	~
mouse	mouse	~
mule	mule	~
mules	mule	~
muppet (animal is the drummer)	~	~
mussels	mussel	~
mutt	dog	~
my spelling if animals is horrible, it turns out!	~	~
naked mole rat	nakedmolerat	~
narwal	narwhal	~
narwhal	narwhal	~
narwhal! 	narwhal	~
neuts	newt	~
newt	newt	~
nice psychological book about hamsters	hamster	~
